source	transformation	target
Thomas sees Kate	sem	see ( thomas , kate )
Ned sees Kate	sem	see ( ned , kate )
Ron runs	sem	run ( ron )
Isla beside Quinn sees Ned	sem	 see ( isla , ned ) & beside ( isla , quinn ) 
Quinn sees Peter	sem	see ( quinn , peter )
Xavier near Claire runs	sem	 run ( xavier ) & near ( xavier , claire ) 
Ned near Ned runs	sem	 run ( ned ) & near ( ned , ned ) 
Ned sees Grace	sem	see ( ned , grace )
Alice sees Henry	sem	see ( alice , henry )
Willow sees Olivia	sem	see ( willow , olivia )
Claire runs	sem	run ( claire )
Isla behind Victor runs	sem	 run ( isla ) & behind ( isla , victor ) 
Willow sees Alice	sem	see ( willow , alice )
Thomas runs	sem	run ( thomas )
Frank near Willow sees Ellie	sem	 see ( frank , ellie ) & near ( frank , willow ) 
Mary sees Ron	sem	see ( mary , ron )
Frank runs	sem	run ( frank )
Peter sees Olivia	sem	see ( peter , olivia )
Henry behind Victor sees himself	sem	 see ( henry , henry ) & behind ( henry , victor ) 
Frank sees Victor	sem	see ( frank , victor )
Ellie runs	sem	run ( ellie )
Ron beside Ron sees himself	sem	 see ( ron , ron ) & beside ( ron , ron ) 
Ynez behind Olivia sees Willow	sem	 see ( ynez , willow ) & behind ( ynez , olivia ) 
Ellie sees John	sem	see ( ellie , john )
Ursa behind Claire sees Ron	sem	 see ( ursa , ron ) & behind ( ursa , claire ) 
Frank sees Frank	sem	see ( frank , frank )
Leo by Willow runs	sem	 run ( leo ) & by ( leo , willow ) 
Frank by Kate runs	sem	 run ( frank ) & by ( frank , kate ) 
Zack behind Willow sees Ursa	sem	 see ( zack , ursa ) & behind ( zack , willow ) 
Ynez sees Frank	sem	see ( ynez , frank )
Olivia near Grace sees herself	sem	 see ( olivia , olivia ) & near ( olivia , grace ) 
Zack runs	sem	run ( zack )
Isla behind Ron sees Victor	sem	 see ( isla , victor ) & behind ( isla , ron ) 
Ursa sees herself	sem	see ( ursa , ursa )
Henry sees himself	sem	see ( henry , henry )
Thomas near John runs	sem	 run ( thomas ) & near ( thomas , john ) 
Sarah by Zack runs	sem	 run ( sarah ) & by ( sarah , zack ) 
Leo behind Sarah runs	sem	 run ( leo ) & behind ( leo , sarah ) 
Peter sees himself	sem	see ( peter , peter )
Mary behind Victor runs	sem	 run ( mary ) & behind ( mary , victor ) 
Claire behind Xavier sees herself	sem	 see ( claire , claire ) & behind ( claire , xavier ) 
Henry by Willow runs	sem	 run ( henry ) & by ( henry , willow ) 
Daniel sees Ellie	sem	see ( daniel , ellie )
Ynez near Leo sees Claire	sem	 see ( ynez , claire ) & near ( ynez , leo ) 
Thomas beside Olivia sees Ellie	sem	 see ( thomas , ellie ) & beside ( thomas , olivia ) 
Daniel runs	sem	run ( daniel )
Zack by Ynez sees himself	sem	 see ( zack , zack ) & by ( zack , ynez ) 
Kate by Ellie sees Ellie	sem	 see ( kate , ellie ) & by ( kate , ellie ) 
Peter beside Xavier sees himself	sem	 see ( peter , peter ) & beside ( peter , xavier ) 
Leo near Thomas sees Ellie	sem	 see ( leo , ellie ) & near ( leo , thomas ) 
Olivia runs	sem	run ( olivia )
Henry by John sees himself	sem	 see ( henry , henry ) & by ( henry , john ) 
Grace beside Bob sees herself	sem	 see ( grace , grace ) & beside ( grace , bob ) 
Leo sees Ursa	sem	see ( leo , ursa )
Alice runs	sem	run ( alice )
Frank by Grace sees Ellie	sem	 see ( frank , ellie ) & by ( frank , grace ) 
Xavier runs	sem	run ( xavier )
John sees Victor	sem	see ( john , victor )
Peter by Isla runs	sem	 run ( peter ) & by ( peter , isla ) 
Ursa sees herself	sem	see ( ursa , ursa )
Alice by Kate sees herself	sem	 see ( alice , alice ) & by ( alice , kate ) 
Olivia sees Claire	sem	see ( olivia , claire )
Ursa beside Ursa sees herself	sem	 see ( ursa , ursa ) & beside ( ursa , ursa ) 
Zack runs	sem	run ( zack )
Xavier sees Alice	sem	see ( xavier , alice )
Peter sees Peter	sem	see ( peter , peter )
Ned beside Leo runs	sem	 run ( ned ) & beside ( ned , leo ) 
Daniel sees Xavier	sem	see ( daniel , xavier )
Bob near Ron runs	sem	 run ( bob ) & near ( bob , ron ) 
Isla sees Willow	sem	see ( isla , willow )
Willow sees herself	sem	see ( willow , willow )
Alice sees herself	sem	see ( alice , alice )
Victor near Ellie sees himself	sem	 see ( victor , victor ) & near ( victor , ellie ) 
Mary sees Grace	sem	see ( mary , grace )
Frank sees Sarah	sem	see ( frank , sarah )
Ron behind Isla sees himself	sem	 see ( ron , ron ) & behind ( ron , isla ) 
Xavier near Olivia sees Ursa	sem	 see ( xavier , ursa ) & near ( xavier , olivia ) 
Henry runs	sem	run ( henry )
Claire sees Kate	sem	see ( claire , kate )
Victor beside Quinn sees Henry	sem	 see ( victor , henry ) & beside ( victor , quinn ) 
Peter near Mary runs	sem	 run ( peter ) & near ( peter , mary ) 
Alice by Sarah sees Ellie	sem	 see ( alice , ellie ) & by ( alice , sarah ) 
Frank by Alice runs	sem	 run ( frank ) & by ( frank , alice ) 
Ellie sees Xavier	sem	see ( ellie , xavier )
Sarah runs	sem	run ( sarah )
Zack near Thomas runs	sem	 run ( zack ) & near ( zack , thomas ) 
John beside Alice sees Zack	sem	 see ( john , zack ) & beside ( john , alice ) 
John runs	sem	run ( john )
Ynez sees Frank	sem	see ( ynez , frank )
Henry by Quinn sees Daniel	sem	 see ( henry , daniel ) & by ( henry , quinn ) 
Ron near Frank sees Ursa	sem	 see ( ron , ursa ) & near ( ron , frank ) 
Quinn sees herself	sem	see ( quinn , quinn )
Frank near Daniel sees Peter	sem	 see ( frank , peter ) & near ( frank , daniel ) 
Claire behind Kate sees Alice	sem	 see ( claire , alice ) & behind ( claire , kate ) 
Bob runs	sem	run ( bob )
Xavier beside Claire runs	sem	 run ( xavier ) & beside ( xavier , claire ) 
Alice behind Isla sees Sarah	sem	 see ( alice , sarah ) & behind ( alice , isla ) 
Isla sees Xavier	sem	see ( isla , xavier )
Ursa near Ursa runs	sem	 run ( ursa ) & near ( ursa , ursa ) 
Ynez beside Zack sees Ned	sem	 see ( ynez , ned ) & beside ( ynez , zack ) 
Sarah sees Isla	sem	see ( sarah , isla )
John runs	sem	run ( john )
John sees Quinn	sem	see ( john , quinn )
Frank sees Ellie	sem	see ( frank , ellie )
Leo near Alice runs	sem	 run ( leo ) & near ( leo , alice ) 
Zack sees himself	sem	see ( zack , zack )
Victor behind Quinn sees Alice	sem	 see ( victor , alice ) & behind ( victor , quinn ) 
Alice near Victor sees herself	sem	 see ( alice , alice ) & near ( alice , victor ) 
Thomas beside Thomas runs	sem	 run ( thomas ) & beside ( thomas , thomas ) 
Olivia beside Ellie sees Olivia	sem	 see ( olivia , olivia ) & beside ( olivia , ellie ) 
Mary sees Zack	sem	see ( mary , zack )
Xavier near Victor sees himself	sem	 see ( xavier , xavier ) & near ( xavier , victor ) 
Ned sees Henry	sem	see ( ned , henry )
Alice sees Daniel	sem	see ( alice , daniel )
John by Ron sees Zack	sem	 see ( john , zack ) & by ( john , ron ) 
Henry sees Xavier	sem	see ( henry , xavier )
Zack runs	sem	run ( zack )
Bob near Isla sees himself	sem	 see ( bob , bob ) & near ( bob , isla ) 
Bob near Henry sees himself	sem	 see ( bob , bob ) & near ( bob , henry ) 
Claire runs	sem	run ( claire )
Kate behind Zack sees Alice	sem	 see ( kate , alice ) & behind ( kate , zack ) 
Henry by Victor sees himself	sem	 see ( henry , henry ) & by ( henry , victor ) 
Isla beside Alice runs	sem	 run ( isla ) & beside ( isla , alice ) 
Daniel runs	sem	run ( daniel )
Xavier by Alice sees Kate	sem	 see ( xavier , kate ) & by ( xavier , alice ) 
Kate behind Ursa sees herself	sem	 see ( kate , kate ) & behind ( kate , ursa ) 
John sees John	sem	see ( john , john )
Grace by Kate sees Willow	sem	 see ( grace , willow ) & by ( grace , kate ) 
Willow sees Ynez	sem	see ( willow , ynez )
Peter beside Willow sees himself	sem	 see ( peter , peter ) & beside ( peter , willow ) 
Peter near Ynez sees Ned	sem	 see ( peter , ned ) & near ( peter , ynez ) 
Quinn beside Olivia sees herself	sem	 see ( quinn , quinn ) & beside ( quinn , olivia ) 
Henry behind Willow sees Claire	sem	 see ( henry , claire ) & behind ( henry , willow ) 
Olivia beside Ellie sees Quinn	sem	 see ( olivia , quinn ) & beside ( olivia , ellie ) 
Alice sees herself	sem	see ( alice , alice )
Ursa sees herself	sem	see ( ursa , ursa )
Peter beside Willow runs	sem	 run ( peter ) & beside ( peter , willow ) 
Alice sees Henry	sem	see ( alice , henry )
Kate sees Ned	sem	see ( kate , ned )
Olivia behind Mary sees Ron	sem	 see ( olivia , ron ) & behind ( olivia , mary ) 
Quinn near Bob sees Isla	sem	 see ( quinn , isla ) & near ( quinn , bob ) 
Isla behind Leo runs	sem	 run ( isla ) & behind ( isla , leo ) 
Ron by Ursa sees himself	sem	 see ( ron , ron ) & by ( ron , ursa ) 
Leo beside Kate sees himself	sem	 see ( leo , leo ) & beside ( leo , kate ) 
Claire by Leo sees Ynez	sem	 see ( claire , ynez ) & by ( claire , leo ) 
Thomas behind Zack sees Ned	sem	 see ( thomas , ned ) & behind ( thomas , zack ) 
John behind Victor sees Frank	sem	 see ( john , frank ) & behind ( john , victor ) 
Mary sees Zack	sem	see ( mary , zack )
Isla near Grace sees Ned	sem	 see ( isla , ned ) & near ( isla , grace ) 
Ynez near John sees Alice	sem	 see ( ynez , alice ) & near ( ynez , john ) 
Claire runs	sem	run ( claire )
Olivia near Leo sees Xavier	sem	 see ( olivia , xavier ) & near ( olivia , leo ) 
Ron behind Ned sees Quinn	sem	 see ( ron , quinn ) & behind ( ron , ned ) 
Xavier by Frank sees Zack	sem	 see ( xavier , zack ) & by ( xavier , frank ) 
Ynez sees herself	sem	see ( ynez , ynez )
Peter runs	sem	run ( peter )
Ron sees Ynez	sem	see ( ron , ynez )
Mary sees Ursa	sem	see ( mary , ursa )
Ellie sees herself	sem	see ( ellie , ellie )
Leo behind Victor sees Mary	sem	 see ( leo , mary ) & behind ( leo , victor ) 
Mary by Ned sees herself	sem	 see ( mary , mary ) & by ( mary , ned ) 
Peter sees Olivia	sem	see ( peter , olivia )
Ynez sees Ellie	sem	see ( ynez , ellie )
Bob runs	sem	run ( bob )
Quinn behind John sees John	sem	 see ( quinn , john ) & behind ( quinn , john ) 
Victor by Ellie runs	sem	 run ( victor ) & by ( victor , ellie ) 
John by Bob sees himself	sem	 see ( john , john ) & by ( john , bob ) 
Peter by Olivia runs	sem	 run ( peter ) & by ( peter , olivia ) 
Frank behind Olivia sees himself	sem	 see ( frank , frank ) & behind ( frank , olivia ) 
Zack behind Claire sees Frank	sem	 see ( zack , frank ) & behind ( zack , claire ) 
Ned behind Ned runs	sem	 run ( ned ) & behind ( ned , ned ) 
Henry behind Claire runs	sem	 run ( henry ) & behind ( henry , claire ) 
Isla beside Ursa runs	sem	 run ( isla ) & beside ( isla , ursa ) 
Frank beside Olivia sees himself	sem	 see ( frank , frank ) & beside ( frank , olivia ) 
Sarah runs	sem	run ( sarah )
Claire sees Ned	sem	see ( claire , ned )
Ellie near Alice runs	sem	 run ( ellie ) & near ( ellie , alice ) 
Ellie behind Daniel sees Alice	sem	 see ( ellie , alice ) & behind ( ellie , daniel ) 
Ellie beside Ynez runs	sem	 run ( ellie ) & beside ( ellie , ynez ) 
Willow beside Thomas sees herself	sem	 see ( willow , willow ) & beside ( willow , thomas ) 
Sarah sees Peter	sem	see ( sarah , peter )
Bob by Henry sees himself	sem	 see ( bob , bob ) & by ( bob , henry ) 
Grace sees herself	sem	see ( grace , grace )
Olivia sees herself	sem	see ( olivia , olivia )
Xavier behind Alice sees Ron	sem	 see ( xavier , ron ) & behind ( xavier , alice ) 
Quinn beside Daniel runs	sem	 run ( quinn ) & beside ( quinn , daniel ) 
Xavier near Kate sees himself	sem	 see ( xavier , xavier ) & near ( xavier , kate ) 
Thomas beside Bob runs	sem	 run ( thomas ) & beside ( thomas , bob ) 
Claire sees herself	sem	see ( claire , claire )
Leo behind Leo sees Peter	sem	 see ( leo , peter ) & behind ( leo , leo ) 
Zack sees himself	sem	see ( zack , zack )
Henry sees himself	sem	see ( henry , henry )
Xavier by Mary sees himself	sem	 see ( xavier , xavier ) & by ( xavier , mary ) 
Sarah beside Henry runs	sem	 run ( sarah ) & beside ( sarah , henry ) 
Daniel by Victor runs	sem	 run ( daniel ) & by ( daniel , victor ) 
Daniel sees Ynez	sem	see ( daniel , ynez )
Claire beside Xavier runs	sem	 run ( claire ) & beside ( claire , xavier ) 
Mary runs	sem	run ( mary )
Bob behind Bob sees Sarah	sem	 see ( bob , sarah ) & behind ( bob , bob ) 
Alice runs	sem	run ( alice )
Claire near Ellie sees herself	sem	 see ( claire , claire ) & near ( claire , ellie ) 
Leo runs	sem	run ( leo )
Ynez behind Daniel sees Frank	sem	 see ( ynez , frank ) & behind ( ynez , daniel ) 
Grace behind Grace runs	sem	 run ( grace ) & behind ( grace , grace ) 
Henry beside Daniel sees Alice	sem	 see ( henry , alice ) & beside ( henry , daniel ) 
Mary runs	sem	run ( mary )
Quinn by Ellie sees Bob	sem	 see ( quinn , bob ) & by ( quinn , ellie ) 
Claire sees herself	sem	see ( claire , claire )
Leo beside Victor sees Olivia	sem	 see ( leo , olivia ) & beside ( leo , victor ) 
Peter near Ursa sees Ynez	sem	 see ( peter , ynez ) & near ( peter , ursa ) 
Henry behind Thomas runs	sem	 run ( henry ) & behind ( henry , thomas ) 
Ellie runs	sem	run ( ellie )
Sarah runs	sem	run ( sarah )
Quinn near Claire sees herself	sem	 see ( quinn , quinn ) & near ( quinn , claire ) 
Ned beside Olivia sees himself	sem	 see ( ned , ned ) & beside ( ned , olivia ) 
Olivia behind Ursa sees Ron	sem	 see ( olivia , ron ) & behind ( olivia , ursa ) 
Zack sees Mary	sem	see ( zack , mary )
Grace near Ynez sees Leo	sem	 see ( grace , leo ) & near ( grace , ynez ) 
Leo behind Kate runs	sem	 run ( leo ) & behind ( leo , kate ) 
Isla near Isla runs	sem	 run ( isla ) & near ( isla , isla ) 
Zack behind Leo sees Alice	sem	 see ( zack , alice ) & behind ( zack , leo ) 
Sarah near Leo runs	sem	 run ( sarah ) & near ( sarah , leo ) 
Zack near Victor sees himself	sem	 see ( zack , zack ) & near ( zack , victor ) 
Zack sees Leo	sem	see ( zack , leo )
Kate behind Ursa runs	sem	 run ( kate ) & behind ( kate , ursa ) 
Ron by Willow sees himself	sem	 see ( ron , ron ) & by ( ron , willow ) 
Quinn sees Peter	sem	see ( quinn , peter )
John runs	sem	run ( john )
Ynez near Ron runs	sem	 run ( ynez ) & near ( ynez , ron ) 
Frank sees himself	sem	see ( frank , frank )
Olivia beside Claire runs	sem	 run ( olivia ) & beside ( olivia , claire ) 
Thomas runs	sem	run ( thomas )
Ron sees himself	sem	see ( ron , ron )
Thomas sees Kate	sem	see ( thomas , kate )
Willow near Peter runs	sem	 run ( willow ) & near ( willow , peter ) 
Claire near John sees herself	sem	 see ( claire , claire ) & near ( claire , john ) 
Ursa sees herself	sem	see ( ursa , ursa )
Thomas runs	sem	run ( thomas )
Olivia beside Ned runs	sem	 run ( olivia ) & beside ( olivia , ned ) 
Ursa runs	sem	run ( ursa )
Ellie sees Ynez	sem	see ( ellie , ynez )
Victor sees himself	sem	see ( victor , victor )
Victor near Victor runs	sem	 run ( victor ) & near ( victor , victor ) 
Olivia behind Henry sees Frank	sem	 see ( olivia , frank ) & behind ( olivia , henry ) 
Sarah sees herself	sem	see ( sarah , sarah )
John behind Ursa runs	sem	 run ( john ) & behind ( john , ursa ) 
Xavier by Quinn sees Sarah	sem	 see ( xavier , sarah ) & by ( xavier , quinn ) 
Peter behind Isla sees Bob	sem	 see ( peter , bob ) & behind ( peter , isla ) 
Olivia sees Isla	sem	see ( olivia , isla )
Isla runs	sem	run ( isla )
Quinn runs	sem	run ( quinn )
Willow behind Thomas sees Grace	sem	 see ( willow , grace ) & behind ( willow , thomas ) 
Victor beside Zack runs	sem	 run ( victor ) & beside ( victor , zack ) 
Henry by Leo sees Ron	sem	 see ( henry , ron ) & by ( henry , leo ) 
Quinn sees Ned	sem	see ( quinn , ned )
Claire near Xavier sees Willow	sem	 see ( claire , willow ) & near ( claire , xavier ) 
Olivia sees Xavier	sem	see ( olivia , xavier )
Victor beside Ron sees himself	sem	 see ( victor , victor ) & beside ( victor , ron ) 
Sarah beside Quinn sees Ynez	sem	 see ( sarah , ynez ) & beside ( sarah , quinn ) 
Thomas runs	sem	run ( thomas )
Ursa behind Grace runs	sem	 run ( ursa ) & behind ( ursa , grace ) 
Mary beside Thomas sees John	sem	 see ( mary , john ) & beside ( mary , thomas ) 
Peter sees himself	sem	see ( peter , peter )
Peter beside Willow sees himself	sem	 see ( peter , peter ) & beside ( peter , willow ) 
Grace beside Bob sees herself	sem	 see ( grace , grace ) & beside ( grace , bob ) 
Bob near Henry runs	sem	 run ( bob ) & near ( bob , henry ) 
Olivia sees herself	sem	see ( olivia , olivia )
Ned sees Isla	sem	see ( ned , isla )
Claire sees Ned	sem	see ( claire , ned )
Xavier beside Ursa sees Olivia	sem	 see ( xavier , olivia ) & beside ( xavier , ursa ) 
Ellie runs	sem	run ( ellie )
Ellie by John runs	sem	 run ( ellie ) & by ( ellie , john ) 
Ron behind Kate sees Thomas	sem	 see ( ron , thomas ) & behind ( ron , kate ) 
Ned sees Alice	sem	see ( ned , alice )
Ursa runs	sem	run ( ursa )
Claire runs	sem	run ( claire )
Victor by Victor sees Henry	sem	 see ( victor , henry ) & by ( victor , victor ) 
Claire sees Leo	sem	see ( claire , leo )
Xavier by Xavier runs	sem	 run ( xavier ) & by ( xavier , xavier ) 
Quinn near Alice runs	sem	 run ( quinn ) & near ( quinn , alice ) 
Claire by Bob sees Ned	sem	 see ( claire , ned ) & by ( claire , bob ) 
Frank runs	sem	run ( frank )
Bob behind Ursa runs	sem	 run ( bob ) & behind ( bob , ursa ) 
Willow sees Daniel	sem	see ( willow , daniel )
Ynez by Ynez runs	sem	 run ( ynez ) & by ( ynez , ynez ) 
Victor beside Xavier sees Zack	sem	 see ( victor , zack ) & beside ( victor , xavier ) 
Victor sees Ursa	sem	see ( victor , ursa )
Isla sees Xavier	sem	see ( isla , xavier )
Victor behind Grace runs	sem	 run ( victor ) & behind ( victor , grace ) 
Xavier beside Xavier sees John	sem	 see ( xavier , john ) & beside ( xavier , xavier ) 
Zack by Quinn sees Zack	sem	 see ( zack , zack ) & by ( zack , quinn ) 
John behind Zack sees himself	sem	 see ( john , john ) & behind ( john , zack ) 
Ursa sees Leo	sem	see ( ursa , leo )
Xavier near Willow sees himself	sem	 see ( xavier , xavier ) & near ( xavier , willow ) 
Thomas behind Thomas sees Xavier	sem	 see ( thomas , xavier ) & behind ( thomas , thomas ) 
Ned runs	sem	run ( ned )
Claire by Zack runs	sem	 run ( claire ) & by ( claire , zack ) 
Ned sees Thomas	sem	see ( ned , thomas )
Willow runs	sem	run ( willow )
Alice runs	sem	run ( alice )
Ron runs	sem	run ( ron )
Sarah sees Alice	sem	see ( sarah , alice )
John by Olivia sees himself	sem	 see ( john , john ) & by ( john , olivia ) 
Grace runs	sem	run ( grace )
Zack runs	sem	run ( zack )
Zack near Xavier runs	sem	 run ( zack ) & near ( zack , xavier ) 
Ynez by Ursa sees Ellie	sem	 see ( ynez , ellie ) & by ( ynez , ursa ) 
Quinn sees Ellie	sem	see ( quinn , ellie )
John sees himself	sem	see ( john , john )
John runs	sem	run ( john )
Olivia near Leo runs	sem	 run ( olivia ) & near ( olivia , leo ) 
Sarah by Olivia sees herself	sem	 see ( sarah , sarah ) & by ( sarah , olivia ) 
Willow beside Willow sees Bob	sem	 see ( willow , bob ) & beside ( willow , willow ) 
Leo runs	sem	run ( leo )
Alice sees herself	sem	see ( alice , alice )
Ned beside Kate sees Xavier	sem	 see ( ned , xavier ) & beside ( ned , kate ) 
Henry by John sees Frank	sem	 see ( henry , frank ) & by ( henry , john ) 
Ynez behind Ned runs	sem	 run ( ynez ) & behind ( ynez , ned ) 
Victor runs	sem	run ( victor )
Zack sees Frank	sem	see ( zack , frank )
Ellie near Victor runs	sem	 run ( ellie ) & near ( ellie , victor ) 
Sarah sees Ron	sem	see ( sarah , ron )
Leo behind Ned sees Frank	sem	 see ( leo , frank ) & behind ( leo , ned ) 
